YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M
2025,1,1,0.6494,-19.47
2025,1,2,1.0109,-24.58
2025,1,3,0.9689,-23.22
2025,1,4,0.7394,-18.65
2025,1,5,0.7579,-18.98
2025,1,6,0.725,-14.05
2025,1,7,0.7402,-3.3
2025,1,8,1.055,-0.16
2025,1,9,1.159,-5.22
2025,1,10,0.6922,1.06
2025,1,11,0.7718,-4.04
2025,1,12,0.6977,-6.3
2025,1,13,0.8592,-2.29
2025,1,14,0.7867,-0.45
2025,1,15,0.9814,-0.37
2025,1,16,0.8124,-0.85
2025,1,17,1.0541,-12.11
2025,1,18,1.4414,-21.89
2025,1,19,1.5067,-24.88
2025,1,20,1.0841,-13.64
2025,1,21,1.0536,-3.02
2025,1,22,1.0622,-5.97
2025,1,23,1.1419,-2.64
2025,1,24,1.236,-6.33
2025,1,25,1.4098,-5.61
2025,1,26,1.3442,-2.18
2025,1,27,1.3498,-0.08
2025,1,28,1.0961,-0.39
2025,1,29,1.2742,-1.74
2025,1,30,0.9451,-8.47
2025,1,31,0.8549,-12.58
2025,2,1,1.5924,-18.98
2025,2,2,1.7232,-25.54
2025,2,3,1.9966,-27.61
2025,2,4,1.8658,-25.73
2025,2,5,1.8156,-22.56
2025,2,6,1.9246,-14.52
2025,2,7,1.9277,-15.94
2025,2,8,2.1926,-14.38
2025,2,9,2.1118,-20.81
2025,2,10,2.4341,-21.72
2025,2,11,2.3278,-18.17
2025,2,12,1.9174,-16.95
2025,2,13,2.3412,-20.68
2025,2,14,1.7381,-20.95
2025,2,15,2.6138,-20.1
2025,2,16,2.7451,-22.2
2025,2,17,2.9189,-23.67
2025,2,18,2.9287,-24.4
2025,2,19,2.8692,-19.64
2025,2,20,2.4624,-6.68
2025,2,21,2.3028,-0.25
2025,2,22,2.7466,1.47
2025,2,23,2.8606,2.43
2025,2,24,2.8939,1.26
2025,2,25,3.012,2.07
2025,2,26,2.658,2.87
2025,2,27,3.0838,4.91
2025,2,28,3.2208,2.39
2025,3,1,2.9206,3.86
2025,3,2,3.0835,3.85
2025,3,3,2.911,-0.75
2025,3,4,3.5057,-0.34
2025,3,5,3.6132,-1.19
2025,3,6,3.5726,1.18
2025,3,7,3.5342,2.61
2025,3,8,3.5237,4.32
2025,3,9,2.478,-0.22
2025,3,10,3.0206,-2.41
2025,3,11,3.5602,0.41
2025,3,12,2.6239,-5.08
2025,3,13,2.4089,-8.13
2025,3,14,4.165,-12.76
2025,3,15,3.3372,-12.69
2025,3,16,3.3977,-9.08
2025,3,17,3.1776,-3.67
2025,3,18,4.6733,-3.25
2025,3,19,4.2528,-0.57
2025,3,20,3.7574,1.62
2025,3,21,4.177,0.76
2025,3,22,4.5149,1.58
2025,3,23,4.7107,1.99
2025,3,24,4.8139,3.55
2025,3,25,4.8252,4.66
2025,3,26,4.1395,3.61
2025,3,27,2.0122,-2.27
2025,3,28,1.8223,-5.8
2025,3,29,4.2341,-6.01
2025,3,30,3.2942,-4.9
2025,3,31,3.2794,-1.47
2025,4,1,3.2256,0.38
2025,4,2,5.3292,-1.58
2025,4,3,5.3102,-3.23
2025,4,4,5.2147,0.83
2025,4,5,5.07,6.18
2025,4,6,5.2082,8.36
2025,4,7,4.4942,7.2
2025,4,8,3.6324,6.12
2025,4,9,5.9918,6.54
2025,4,10,5.8867,8.42
2025,4,11,6.0595,8.63
2025,4,12,5.19,2.95
2025,4,13,5.1115,3.93
2025,4,14,4.842,7.42
2025,4,15,5.4019,7.58
2025,4,16,4.2986,3.14
2025,4,17,6.6168,2.48
2025,4,18,5.419,7.49
2025,4,19,6.0331,7.06
2025,4,20,5.4012,3.53
2025,4,21,3.6276,3.38
2025,4,22,5.01,4.99
2025,4,23,4.9956,6.1
2025,4,24,6.0036,8.53
2025,4,25,6.7193,11.36
2025,4,26,6.0991,10.91
2025,4,27,5.2039,4.77
2025,4,28,5.929,7.97
2025,4,29,5.7595,9.68
2025,4,30,4.2842,8.82
2025,5,1,7.1179,11.3
2025,5,2,7.2002,14.37
2025,5,3,6.3151,14.85
2025,5,4,6.7963,9.14
2025,5,5,7.2583,8.7
2025,5,6,7.5218,12.64
2025,5,7,4.3567,14.28
